time
8.18
8.25
8.3
8.3
9.33
9.35
9.45
9.49
9.52
9.79
9.83
9.87
9.89
9.9
9.92
9.92
9.97
7
10.05
10.06
10.09
15.15
11.22
10.23
10.23
10.32
10.33
10.35
10.45
10.52

